epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1686.8,1.68324,1.23904,1.54435,0.64516,0.57943,0.61136,0.30939,1.40934,0.98581,1.24098,0.0015941,0.0015941,0.0015941
43,1726.22,1.61435,1.21989,1.5047,0.63368,0.57337,0.6072,0.31549,1.3822,0.95016,1.2439,0.0015842,0.0015842,0.0015842
44,1766.55,1.66989,1.22586,1.54145,0.64758,0.56884,0.60769,0.3129,1.38566,1.00074,1.2357,0.0015743,0.0015743,0.0015743
45,1806.29,1.69954,1.25719,1.5252,0.55917,0.57185,0.57186,0.29553,1.3849,2.48677,1.22129,0.0015644,0.0015644,0.0015644
46,1844.29,1.58988,1.21052,1.47332,0.64551,0.53445,0.602,0.30409,1.43908,1.04264,1.2945,0.0015545,0.0015545,0.0015545
47,1883.5,1.68537,1.20704,1.44993,0.65206,0.54435,0.60689,0.30386,1.4035,1.62958,1.27087,0.0015446,0.0015446,0.0015446
48,1922.19,1.61387,1.21489,1.47114,0.63592,0.57943,0.61889,0.32966,1.37349,1.00136,1.24392,0.0015347,0.0015347,0.0015347
49,1962.76,1.6473,1.20868,1.46704,0.6148,0.57337,0.58479,0.29683,1.44252,1.58226,1.27257,0.0015248,0.0015248,0.0015248
50,2001.09,1.56,1.1979,1.50497,0.6834,0.55976,0.62227,0.32569,1.38617,1.06505,1.26404,0.0015149,0.0015149,0.0015149
51,2039.77,1.56542,1.2084,1.495,0.65418,0.5885,0.62574,0.32706,1.38678,0.99046,1.22926,0.001505,0.001505,0.001505
52,2079.33,1.55665,1.1681,1.47609,0.6669,0.60817,0.6438,0.33098,1.37343,0.94766,1.24666,0.0014951,0.0014951,0.0014951
53,2119.78,1.57043,1.15911,1.46658,0.68337,0.56162,0.63693,0.32319,1.39684,0.9435,1.23935,0.0014852,0.0014852,0.0014852
54,2158.14,1.56789,1.1265,1.47016,0.66494,0.60968,0.65293,0.33805,1.39275,0.97228,1.23853,0.0014753,0.0014753,0.0014753
55,2198.39,1.55745,1.13947,1.48142,0.72295,0.58245,0.65695,0.33794,1.34635,0.93335,1.20842,0.0014654,0.0014654,0.0014654
56,2238.75,1.54016,1.11797,1.46519,0.72835,0.57186,0.66126,0.3438,1.3293,1.07723,1.20527,0.0014555,0.0014555,0.0014555
57,2278.61,1.55282,1.11058,1.44167,0.68611,0.6112,0.66221,0.3352,1.35614,0.9721,1.20551,0.0014456,0.0014456,0.0014456
58,2317.82,1.5422,1.09078,1.46395,0.72157,0.61573,0.66505,0.34506,1.34721,0.90707,1.22259,0.0014357,0.0014357,0.0014357
59,2357.79,1.5215,1.09213,1.4427,0.65344,0.60061,0.64642,0.34497,1.35621,0.91115,1.24585,0.0014258,0.0014258,0.0014258
60,2396.22,1.57344,1.08427,1.42618,0.68328,0.61033,0.64946,0.33443,1.37302,0.92922,1.23494,0.0014159,0.0014159,0.0014159
61,2435.05,1.42871,1.0812,1.38767,0.69384,0.58971,0.64948,0.34299,1.34721,0.94606,1.2223,0.001406,0.001406,0.001406
62,2474.44,1.49831,1.08407,1.45333,0.70343,0.60061,0.65646,0.34064,1.35072,0.92396,1.23973,0.0013961,0.0013961,0.0013961
63,2514.33,1.4949,1.07273,1.40909,0.67402,0.63389,0.6687,0.35147,1.32322,0.92675,1.20127,0.0013862,0.0013862,0.0013862
64,2553.73,1.54513,1.07623,1.42821,0.67363,0.60061,0.65184,0.3467,1.36127,0.89483,1.21572,0.0013763,0.0013763,0.0013763
65,2592.38,1.51501,1.08572,1.43356,0.696,0.59607,0.65933,0.34941,1.37851,0.95677,1.22801,0.0013664,0.0013664,0.0013664
66,2631.48,1.46194,1.04845,1.42417,0.72199,0.60514,0.65039,0.3487,1.32511,0.94079,1.22305,0.0013565,0.0013565,0.0013565
67,2671.17,1.46567,1.06864,1.44153,0.74704,0.5942,0.66682,0.35058,1.32069,0.97464,1.19357,0.0013466,0.0013466,0.0013466
68,2709.61,1.44763,1.02788,1.39497,0.70909,0.60363,0.66816,0.36318,1.26667,0.94904,1.16802,0.0013367,0.0013367,0.0013367
69,2750.15,1.45827,1.0361,1.407,0.74097,0.59002,0.65599,0.34893,1.34061,0.9662,1.20844,0.0013268,0.0013268,0.0013268
70,2789.58,1.47454,1.05504,1.41715,0.72538,0.60817,0.66228,0.35161,1.34405,0.93329,1.20771,0.0013169,0.0013169,0.0013169
71,2828.63,1.43683,1.01198,1.3675,0.71558,0.60212,0.65273,0.35894,1.32329,1.11522,1.23031,0.001307,0.001307,0.001307
72,2867.07,1.42129,1.03218,1.39129,0.70416,0.60817,0.67025,0.35787,1.33174,0.91704,1.21328,0.0012971,0.0012971,0.0012971
73,2906.39,1.44741,1.01682,1.42874,0.67059,0.6112,0.65912,0.34332,1.36244,0.88211,1.25917,0.0012872,0.0012872,0.0012872
74,2945.39,1.48041,1.02025,1.41975,0.70606,0.57186,0.6492,0.34081,1.35521,0.91534,1.21899,0.0012773,0.0012773,0.0012773
75,2984.82,1.42373,0.9896,1.39832,0.72855,0.6112,0.66835,0.36316,1.299,0.87643,1.2201,0.0012674,0.0012674,0.0012674
