epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4508.74,1.54685,1.07584,1.35757,0.69752,0.62161,0.66352,0.35442,1.35832,0.89794,1.1809,0.007921,0.007921,0.007921
44,4613.67,1.55854,1.07914,1.36849,0.71097,0.60138,0.66551,0.35307,1.35426,0.91504,1.18455,0.0078715,0.0078715,0.0078715
45,4716.95,1.55004,1.09398,1.38887,0.71488,0.60138,0.65959,0.34698,1.36023,1.03526,1.16769,0.007822,0.007822,0.007822
46,4820.3,1.53489,1.0597,1.34133,0.68303,0.62062,0.65691,0.3498,1.34805,1.00766,1.17952,0.0077725,0.0077725,0.0077725
47,4923.41,1.52623,1.05978,1.34923,0.66542,0.59793,0.63991,0.33956,1.38703,1.63985,1.20059,0.007723,0.007723,0.007723
48,5026.64,1.52462,1.06058,1.34206,0.7075,0.62704,0.66979,0.35367,1.36531,0.95724,1.18822,0.0076735,0.0076735,0.0076735
49,5129.38,1.51933,1.0573,1.3545,0.72069,0.59497,0.67138,0.35694,1.36751,0.93539,1.1888,0.007624,0.007624,0.007624
50,5232.19,1.48363,1.04517,1.33998,0.6681,0.62563,0.66107,0.35345,1.33855,0.90227,1.17538,0.0075745,0.0075745,0.0075745
51,5334.25,1.50031,1.04207,1.33456,0.68305,0.63152,0.66871,0.34582,1.36815,0.88507,1.18834,0.007525,0.007525,0.007525
52,5437.87,1.49881,1.00863,1.35162,0.68777,0.61616,0.66281,0.36009,1.36473,0.94951,1.17988,0.0074755,0.0074755,0.0074755
53,5540.83,1.49664,1.0275,1.33956,0.72467,0.62718,0.67841,0.35093,1.36997,0.91634,1.20591,0.007426,0.007426,0.007426
54,5643.19,1.49829,1.02561,1.33691,0.69426,0.6295,0.67912,0.36378,1.33387,1.21975,1.16938,0.0073765,0.0073765,0.0073765
55,5745.99,1.48476,1.01798,1.33287,0.72235,0.62013,0.68727,0.35987,1.34774,0.90009,1.17434,0.007327,0.007327,0.007327
56,5848.54,1.4763,1.00146,1.32137,0.71032,0.64479,0.68821,0.36693,1.32407,0.87798,1.16587,0.0072775,0.0072775,0.0072775
57,5951.66,1.49434,1.01706,1.33234,0.69547,0.61717,0.67518,0.36422,1.33553,0.8818,1.17463,0.007228,0.007228,0.007228
58,6055.47,1.44729,0.97845,1.31772,0.6967,0.63802,0.68127,0.36817,1.31259,0.87916,1.16706,0.0071785,0.0071785,0.0071785
59,6160.43,1.46984,1.00572,1.32244,0.69186,0.6522,0.68102,0.37267,1.30712,0.95469,1.15597,0.007129,0.007129,0.007129
60,6264.92,1.47121,0.98915,1.31189,0.71596,0.63394,0.68819,0.36911,1.31327,0.86191,1.16199,0.0070795,0.0070795,0.0070795
61,6370.05,1.44733,0.96851,1.30793,0.7019,0.6412,0.68444,0.36867,1.32937,0.87191,1.16825,0.00703,0.00703,0.00703
62,6473.78,1.47118,0.97843,1.30454,0.72627,0.62654,0.69144,0.37477,1.31895,0.86268,1.16283,0.0069805,0.0069805,0.0069805
63,6577.75,1.44031,0.9745,1.317,0.70034,0.62377,0.6674,0.36042,1.32514,0.84681,1.18129,0.006931,0.006931,0.006931
64,6683.36,1.43669,0.96839,1.31209,0.72627,0.63,0.69085,0.37354,1.31506,0.86667,1.17373,0.0068815,0.0068815,0.0068815
65,6787.09,1.46606,0.9606,1.32375,0.68532,0.64085,0.68136,0.36806,1.35264,0.89416,1.18265,0.006832,0.006832,0.006832
66,6892.89,1.44484,0.96435,1.29887,0.70965,0.62605,0.68238,0.37447,1.31721,0.89654,1.16554,0.0067825,0.0067825,0.0067825
67,6996.46,1.41983,0.95269,1.286,0.72321,0.62259,0.68888,0.37657,1.32149,0.84503,1.17515,0.006733,0.006733,0.006733
68,7102.5,1.45255,0.95285,1.28623,0.70691,0.63937,0.68657,0.37339,1.31096,0.85648,1.16751,0.0066835,0.0066835,0.0066835
69,7207.75,1.4199,0.95252,1.29553,0.69997,0.64085,0.68734,0.37408,1.3124,0.8947,1.17181,0.006634,0.006634,0.006634
70,7311.08,1.41629,0.93173,1.30037,0.68975,0.65149,0.68762,0.37162,1.31015,0.85965,1.17064,0.0065845,0.0065845,0.0065845
71,7414.4,1.39438,0.92299,1.29389,0.71129,0.64295,0.68804,0.37884,1.31035,0.87983,1.16782,0.006535,0.006535,0.006535
72,7519.91,1.37726,0.91861,1.27232,0.72459,0.61717,0.69011,0.3778,1.32133,0.841,1.16984,0.0064855,0.0064855,0.0064855
73,7624,1.42379,0.93522,1.29312,0.70708,0.63118,0.68246,0.37724,1.30516,0.83695,1.16938,0.006436,0.006436,0.006436
74,7726.89,1.39491,0.92202,1.27021,0.70635,0.642,0.6902,0.3788,1.3026,0.82227,1.17156,0.0063865,0.0063865,0.0063865
75,7831.15,1.3875,0.90369,1.27956,0.70496,0.63493,0.68696,0.3758,1.32465,0.81922,1.17922,0.006337,0.006337,0.006337
76,7934.24,1.37776,0.89446,1.26812,0.69525,0.64874,0.69228,0.38224,1.30749,0.80879,1.16994,0.0062875,0.0062875,0.0062875
77,8038.36,1.38794,0.90844,1.27378,0.71948,0.63,0.6884,0.37833,1.30874,0.83363,1.17979,0.006238,0.006238,0.006238
